"click here to display the categories","clicca qui per visualizzare le categorie"
"No Simulation","Nessuna simulazione"
"Authorization soft decline","Autorizzazione non riuscita"
"Authorization hard decline","Autorizzazione negata"
"Authorization timed out","Autorizzazione scaduta"
"Capture declined","Acquisizione negata"
"Capture pending","Acquisizione in sospeso"
"Refund declined","Rimborso negato"
"Synchronous","Sincrono"
"Asynchronous","Asincrono"
"Synchronous if Possible","Sincrono, se possibile"
"Gold","Oro"
"Light Gray","Grigio chiaro"
"Dark Gray","Grigio scuro"
"Small","Piccolo"
"Medium","Medio"
"Large","Grande"
"Extra Large","Extra large"
"Login with Amazon / Amazon Pay","Accedi con Amazon / Amazon Pay"
"Login / Pay","Accedi e paga"
"Amazon Pay Logo","Logo Amazon Pay"
"Charge on Shipment","Addebito al momento della spedizione"
"Charge on Order","Addebito al momento dell'ordine"
"Euro Region","Area euro"
"United Kingdom","Regno Unito"
"United States","Stati Uniti"
"Japan","Giappone"
"Data Polling via Cron Job","Polling dei dati tramite Cron job"
"Instant Payment Notifications","Notifiche istantanee di pagamento"
"Amazon Pay","Amazon Pay"
"General","Generale"
"Credentials","Credenziali"
"Merchant Id","Numero venditore"
"Access Key Id","Numero chiave d'accesso"
"Secret Access Key","Chiave d'accesso segreta"
"Client Id","ID cliente"
"Client Secret","Chiave segreta cliente"
"Credentials JSON","Credenziali JSON"
"Payment Region","Area pagamento"
"Sandbox","Sandbox"
"Allowed Javascript Origins","Origini JavaScript consentite"
"Allowed Return URLs","URL restituiti consentiti"
"Options","Opzioni"
"Enable Amazon Pay","Abilita Amazon Pay"
"Enable Login with Amazon","Abilita Accedi con Amazon"
"Payment Action","Azione pagamento"
"Authorization Mode","Modalità autorizzazione"
"Update Mechanism","Meccanismo di aggiornamento"
"Amazon Pay button is visible on Product Page","Il pulsante Amazon Pay è visibile sulla pagina prodotto"
"Advanced","Avanzate"
"Frontend","Front-end"
"Button Display Language","Lingua di visualizzazione del pulsante"
"Controls button and widget language. The default is your shop's locale. Available options can be found <a href=""https://payments.amazon.co.uk/developer/documentation/lpwa/201953980#ENTER_LANGUAGE_PARAMETER"">here</a>.","Imposta la lingua dei widget e dei pulsanti. Viene utilizzata la lingua del sito dell'utente come impostazione predefinita. Per trovare le opzioni disponibili, clicca <a href=""https://payments.amazon.co.uk/developer/documentation/lpwa/201953980#ENTER_LANGUAGE_PARAMETER"">qui</a>."
"Button Color","Colore pulsante"
"Button Size","Dimensione pulsante"
"Sales Options","Opzioni di vendita"
"New Order Status","Nuovo stato ordine"
"Sales Exclusions","Esclusioni dalla vendita"
"Is Packing Stations Terms Validation Enabled","Convalida dei termini per le stazioni di imballaggio abilitata"
"Packing Stations Terms","Termini stazioni di imballaggio"
"A comma-separated list of case-insensitive terms which will be used to check whether a Customer Address is a locker or packing station.","Elenco di termini senza distinzione tra maiuscole e minuscole e separati da virgole che saranno utilizzati per verificare se l'indirizzo del cliente corrisponde a un locker o a una stazione di imballaggio."
"Excluded Categories","Categorie escluse"
"The ""Amazon Pay"" button will not be available for products of the selected categories.","Il pulsante Amazon Pay non sarà disponibile per i prodotti delle categorie selezionate."
"Developer Options","Opzioni sviluppatori"
"Logging","Accesso"
"Allowed IPs","IP consentiti"
"Comma separated. The ""Login with Amazon"" and ""Amazon Pay"" buttons will <em>only</em> be rendered for clients having the above IPs.
                            If the field is empty, the buttons will be visible to all clients.","Separato da virgola. I pulsanti Accedi con Amazon e Amazon Pay saranno resi disponibili <em>solo</em> per i clienti che dispongono degli IP sopra indicati.
                            Se il campo è vuoto, i pulsanti saranno visibili a tutti i clienti."
"Module version","Versione del Modulo"
"--","--"
